Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,15.381333,15.425333,14.600000,14.894000,14.894000,102406500
2016-01-05,15.090667,15.126000,14.666667,14.895333,14.895333,47802000
2016-01-06,14.666667,14.670000,14.398667,14.602667,14.602667,56686500
2016-01-07,14.279333,14.562667,14.244667,14.376667,14.376667,53314500
2016-01-08,14.524000,14.696000,14.051333,14.066667,14.066667,54421500
2016-01-11,14.267333,14.296667,13.533333,13.856667,13.856667,61371000
2016-01-12,14.106667,14.249333,13.687333,13.998000,13.998000,46378500
2016-01-13,14.134000,14.176667,13.333333,13.354000,13.354000,61896000
2016-01-14,13.480667,14.000000,12.892000,13.745333,13.745333,97360500
2016-01-15,13.264667,13.671333,13.150000,13.666000,13.666000,83679000
2016-01-19,13.914000,14.031333,13.385333,13.648000,13.648000,60580500
2016-01-20,13.293333,13.418667,12.750000,13.246667,13.246667,87579000
2016-01-21,13.436667,13.548667,13.001333,13.331333,13.331333,47493000
2016-01-22,13.653333,13.700000,13.268667,13.503333,13.503333,46861500
2016-01-25,13.337333,13.571333,13.058667,13.092000,13.092000,40480500
2016-01-26,13.113333,13.188000,12.592000,12.904000,12.904000,74463000
2016-01-27,12.825333,12.884000,12.384667,12.538000,12.538000,54258000
2016-01-28,12.719333,12.752000,12.160667,12.646667,12.646667,68892000
2016-01-29,12.663333,12.916000,12.538667,12.746667,12.746667,42784500
2016-02-01,12.584000,13.301333,12.183333,13.129333,13.129333,79464000
2016-02-02,12.828000,12.874667,12.015333,12.185333,12.185333,86604000
2016-02-03,12.239333,12.262667,11.345333,11.565333,11.565333,118971000
2016-02-04,11.380000,11.732000,11.132667,11.688667,11.688667,65781000
2016-02-05,11.420000,11.533333,10.516000,10.840000,10.840000,141564000
2016-02-08,10.473333,10.476667,9.733333,9.866000,9.866000,139695000
2016-02-09,9.488000,10.652667,9.403333,9.883333,9.883333,129774000
2016-02-10,10.033333,10.331333,9.449333,9.578000,9.578000,156097500
2016-02-11,10.133333,10.884000,9.800000,10.031333,10.031333,213786000
2016-02-12,10.333333,10.467333,9.580000,10.069333,10.069333,108537000
2016-02-16,10.580000,10.863333,10.274000,10.344667,10.344667,83907000
2016-02-17,10.600000,11.289333,10.445333,11.245333,11.245333,87378000
2016-02-18,11.494667,11.530000,10.984667,11.118000,11.118000,58314000
2016-02-19,10.910667,11.166000,10.833333,11.105333,11.105333,44391000
2016-02-22,11.341333,11.927333,11.323333,11.849333,11.849333,75901500
2016-02-23,11.744000,12.115333,11.578667,11.814000,11.814000,89766000
2016-02-24,11.516667,11.966667,11.189333,11.933333,11.933333,80934000
2016-02-25,11.910000,12.568000,11.680000,12.495333,12.495333,86260500
2016-02-26,12.580000,12.800000,12.333333,12.689333,12.689333,90976500
2016-02-29,12.826667,13.090000,12.614667,12.795333,12.795333,67485000
2016-03-01,12.950000,13.063333,12.180000,12.423333,12.423333,100683000
2016-03-02,12.248667,12.568000,12.100000,12.556000,12.556000,72936000
2016-03-03,12.552000,13.161333,12.281333,13.049333,13.049333,72435000
2016-03-04,13.200000,13.602000,13.166667,13.402667,13.402667,97336500
2016-03-07,13.178667,13.980000,13.160000,13.686000,13.686000,79941000
2016-03-08,13.566667,13.833333,13.480000,13.506667,13.506667,62680500
2016-03-09,13.634667,13.958000,13.519333,13.914667,13.914667,48129000
2016-03-10,14.000000,14.219333,13.378000,13.678667,13.678667,77887500
2016-03-11,13.862000,13.961333,13.688667,13.833333,13.833333,50146500
2016-03-14,14.176667,14.448000,14.042667,14.343333,14.343333,60985500
2016-03-15,14.284667,14.598000,14.100000,14.556000,14.556000,47707500
2016-03-16,14.533333,14.838667,14.468000,14.795333,14.795333,52750500
2016-03-17,14.764667,15.233333,14.666667,15.092000,15.092000,56743500
2016-03-18,15.273333,15.632000,15.204000,15.516000,15.516000,70677000
2016-03-21,15.689333,15.992000,15.666667,15.888000,15.888000,79617000
2016-03-22,15.814000,15.932667,15.504000,15.616000,15.616000,64740000
2016-03-23,15.491333,15.648667,14.802000,14.838667,14.838667,74232000
2016-03-24,14.385333,15.259333,14.333333,15.183333,15.183333,74413500
2016-03-28,15.440667,15.654000,15.000000,15.350667,15.350667,58885500
2016-03-29,15.326000,15.492000,15.022000,15.342000,15.342000,60214500
2016-03-30,15.672667,15.700000,15.100000,15.126000,15.126000,60495000
2016-03-31,15.289333,15.828000,15.000667,15.318000,15.318000,120193500
2016-04-01,16.322001,16.526667,15.550000,15.839333,15.839333,239962500
2016-04-04,16.608000,16.808001,16.242666,16.466000,16.466000,202129500
2016-04-05,16.033333,17.104000,16.000000,17.031334,17.031334,149230500
2016-04-06,16.931334,17.849333,16.896667,17.694668,17.694668,175582500
2016-04-07,17.763332,17.955999,16.967333,17.146667,17.146667,132843000
2016-04-08,17.366667,17.388000,16.534666,16.671333,16.671333,110458500
2016-04-11,16.733334,17.266001,16.353333,16.661333,16.661333,137425500
2016-04-12,16.633333,16.786667,16.242001,16.521334,16.521334,86448000
2016-04-13,16.567333,17.033333,16.488667,16.968666,16.968666,73884000
2016-04-14,16.866667,17.122667,16.736668,16.790667,16.790667,61983000
2016-04-15,16.754000,16.973333,16.608000,16.967333,16.967333,56286000
2016-04-18,16.815332,17.220667,16.777332,16.925333,16.925333,64071000
2016-04-19,16.874666,16.958000,16.083332,16.491333,16.491333,95362500
2016-04-20,16.417334,16.910667,16.100000,16.664667,16.664667,77911500
2016-04-21,16.599333,16.726667,16.460667,16.552668,16.552668,41746500
2016-04-22,16.592667,16.933332,16.380667,16.916668,16.916668,56794500
2016-04-25,16.867332,17.158667,16.717333,16.788000,16.788000,55054500
2016-04-26,16.803333,17.048668,16.625999,16.916000,16.916000,48357000
2016-04-27,16.850000,17.000000,16.626667,16.764668,16.764668,48087000
2016-04-28,16.656668,16.895332,16.496000,16.514000,16.514000,37785000
2016-04-29,16.542667,16.562000,15.854000,16.050667,16.050667,81207000
2016-05-02,16.100000,16.212667,15.654667,16.120001,16.120001,57658500
2016-05-03,15.824000,15.927333,15.441333,15.488000,15.488000,64533000
2016-05-04,15.352667,15.630667,14.693333,14.837333,14.837333,130507500
2016-05-05,15.230667,15.242667,13.986000,14.102000,14.102000,168822000
2016-05-06,14.058000,14.424667,13.874000,14.328667,14.328667,85278000
2016-05-09,14.381333,14.410000,13.786667,13.928000,13.928000,71646000
2016-05-10,13.836667,13.964667,13.666667,13.912667,13.912667,61059000
2016-05-11,13.839333,14.365333,13.736667,13.930667,13.930667,77428500
2016-05-12,14.096000,14.111333,13.577333,13.818667,13.818667,54757500
2016-05-13,13.852000,14.080000,13.780000,13.840667,13.840667,42342000
2016-05-16,13.876667,14.210000,13.861333,13.886000,13.886000,44241000
2016-05-17,13.936667,13.988000,13.601333,13.644000,13.644000,42654000
2016-05-18,13.943333,14.354000,13.850000,14.078000,14.078000,84262500
2016-05-19,14.241333,14.452667,13.820000,14.347333,14.347333,102994500
2016-05-20,14.466000,14.703333,14.423333,14.685333,14.685333,135106500
2016-05-23,14.658000,14.840000,14.390667,14.414667,14.414667,76537500
2016-05-24,14.440000,14.582667,14.345333,14.527333,14.527333,45207000
2016-05-25,14.527333,14.757333,14.434000,14.638667,14.638667,46902000
2016-05-26,14.700000,15.017333,14.603333,15.008000,15.008000,61086000
2016-05-27,14.999333,15.062000,14.716667,14.869333,14.869333,54754500
2016-05-31,14.869333,14.983333,14.766667,14.882000,14.882000,41835000
2016-06-01,14.765333,14.826667,14.459333,14.637333,14.637333,44740500
2016-06-02,14.639333,14.660667,14.474000,14.597333,14.597333,30492000
2016-06-03,14.666667,14.796000,14.534000,14.599333,14.599333,33435000
2016-06-06,14.533333,14.726667,14.363333,14.712000,14.712000,33742500
2016-06-07,14.816000,15.629333,14.768000,15.489333,15.489333,93204000
2016-06-08,15.586667,16.056667,15.507333,15.701333,15.701333,89580000
2016-06-09,15.665333,15.688667,15.137333,15.290667,15.290667,67381500
2016-06-10,15.159333,15.198000,14.561333,14.586000,14.586000,90399000
2016-06-13,14.633333,15.051333,14.510667,14.524667,14.524667,62895000
2016-06-14,14.592000,14.813333,14.168667,14.330667,14.330667,53703000
2016-06-15,14.463333,14.793333,14.342000,14.513333,14.513333,43627500
2016-06-16,14.494667,14.536000,14.233333,14.528667,14.528667,36604500
2016-06-17,14.520667,14.666000,14.300000,14.364667,14.364667,46689000
2016-06-20,14.633333,14.916667,14.548667,14.646667,14.646667,53332500
2016-06-21,14.712000,14.838000,14.587333,14.640667,14.640667,67935000
2016-06-22,13.298000,13.730000,13.050000,13.110667,13.110667,356136000
2016-06-23,13.046000,13.170000,12.808667,13.093333,13.093333,151960500
2016-06-24,12.670000,13.008000,12.648667,12.876667,12.876667,105397500
2016-06-27,12.724000,13.254000,12.524667,13.236667,13.236667,108081000
2016-06-28,13.459333,13.603333,13.294000,13.452667,13.452667,93186000
2016-06-29,13.675333,14.118667,13.533333,14.012667,14.012667,89923500
2016-06-30,14.198000,14.233333,13.934667,14.152000,14.152000,72646500
2016-07-01,13.742667,14.549333,13.733333,14.433333,14.433333,81000000
2016-07-05,13.982000,14.302667,13.866667,14.265333,14.265333,77629500
2016-07-06,14.000000,14.348667,13.933333,14.296000,14.296000,73798500
2016-07-07,14.206667,14.541333,14.200667,14.396000,14.396000,54180000
2016-07-08,14.520000,14.654000,14.300000,14.452000,14.452000,61122000
2016-07-11,14.664000,15.118667,14.634000,14.985333,14.985333,81447000
2016-07-12,14.940000,15.166667,14.881333,14.976667,14.976667,68569500
2016-07-13,15.033333,15.039333,14.686000,14.835333,14.835333,53506500
2016-07-14,14.874667,14.996000,14.736667,14.768667,14.768667,40137000
2016-07-15,14.834667,14.850000,14.642667,14.693333,14.693333,33513000
2016-07-18,14.642667,15.139333,14.553333,15.083333,15.083333,51181500
2016-07-19,15.000000,15.273333,14.983333,15.017333,15.017333,46726500
2016-07-20,15.098000,15.320000,15.000000,15.224000,15.224000,38527500
2016-07-21,15.066667,15.190000,14.606667,14.700000,14.700000,66430500
2016-07-22,14.799333,14.966667,14.592000,14.818000,14.818000,38695500
2016-07-25,14.818000,15.426000,14.758000,15.334000,15.334000,67360500
2016-07-26,15.179333,15.333333,15.020000,15.300667,15.300667,51450000
2016-07-27,15.289333,15.557333,15.128000,15.232667,15.232667,43335000
2016-07-28,15.196667,15.384000,15.106667,15.374000,15.374000,36286500
2016-07-29,15.380000,15.685333,15.349333,15.652667,15.652667,46062000
2016-08-01,15.700000,15.775333,15.292000,15.334000,15.334000,60244500
2016-08-02,15.291333,15.324667,14.760000,15.146667,15.146667,59016000
2016-08-03,15.158000,15.313333,14.947333,15.052667,15.052667,58317000
2016-08-04,15.046000,15.390667,14.803333,15.374000,15.374000,62205000
2016-08-05,15.333333,15.466667,15.160000,15.335333,15.335333,48078000
2016-08-08,15.200000,15.306667,15.072667,15.077333,15.077333,33954000
2016-08-09,15.121333,15.436000,15.110000,15.272000,15.272000,33117000
2016-08-10,15.216000,15.324667,14.974667,15.043333,15.043333,35074500
2016-08-11,15.078000,15.171333,14.894000,14.994000,14.994000,28213500
2016-08-12,15.027333,15.110000,14.936000,15.040667,15.040667,27202500
2016-08-15,15.068000,15.300000,14.995333,15.039333,15.039333,30514500
2016-08-16,15.032667,15.146000,14.894000,14.907333,14.907333,34006500
2016-08-17,14.955333,14.988667,14.853333,14.882667,14.882667,26806500
2016-08-18,14.921333,15.044000,14.819333,14.900667,14.900667,25717500
2016-08-19,14.902667,15.011333,14.835333,15.000000,15.000000,24892500
2016-08-22,14.944667,15.007333,14.845333,14.862000,14.862000,30982500
2016-08-23,14.954667,15.232667,14.853333,14.989333,14.989333,71766000
2016-08-24,15.136667,15.143333,14.814667,14.841333,14.841333,38560500
2016-08-25,14.874000,14.920000,14.718000,14.730667,14.730667,26437500
2016-08-26,14.809333,14.857333,14.588000,14.666000,14.666000,33585000
2016-08-29,14.676667,14.693333,14.333333,14.346667,14.346667,48994500
2016-08-30,14.407333,14.407333,14.034667,14.089333,14.089333,47533500
2016-08-31,14.028667,14.173333,13.910000,14.134000,14.134000,49147500
2016-09-01,13.934000,14.073333,13.366667,13.384667,13.384667,119146500
2016-09-02,13.488667,13.546667,13.080000,13.185333,13.185333,89661000
2016-09-06,13.268000,13.550000,13.266667,13.522000,13.522000,65859000
2016-09-07,13.700000,13.766667,13.380667,13.447333,13.447333,54613500
2016-09-08,13.303333,13.326000,13.090667,13.157333,13.157333,50668500
2016-09-09,13.272667,13.328000,12.913333,12.964667,12.964667,56355000
2016-09-12,13.000000,13.424667,12.940000,13.220000,13.220000,55728000
2016-09-13,13.137333,13.232667,12.896667,13.070000,13.070000,53841000
2016-09-14,13.050000,13.194667,12.990667,13.094000,13.094000,33817500
2016-09-15,13.099333,13.501333,13.093333,13.361333,13.361333,46158000
2016-09-16,13.361333,13.713333,13.266667,13.693333,13.693333,46617000
2016-09-19,13.800000,13.962000,13.666667,13.756000,13.756000,34492500
2016-09-20,13.790000,13.850000,13.594000,13.642667,13.642667,36157500
2016-09-21,13.758000,13.800000,13.437333,13.681333,13.681333,39502500
2016-09-22,13.760000,13.818667,13.533333,13.762000,13.762000,35743500
2016-09-23,13.732667,14.012000,13.711333,13.830000,13.830000,43578000
2016-09-26,13.766667,14.066667,13.766667,13.932667,13.932667,35916000
2016-09-27,13.976667,13.998667,13.640667,13.720667,13.720667,50598000
2016-09-28,13.834000,13.883333,13.684000,13.751333,13.751333,31326000
2016-09-29,13.706667,13.822000,13.372000,13.380000,13.380000,40905000
2016-09-30,13.480667,13.665333,13.303333,13.602000,13.602000,38794500
2016-10-03,14.153333,14.378000,13.883333,14.246667,14.246667,89998500
2016-10-04,14.206667,14.221333,13.921333,14.094000,14.094000,53122500
2016-10-05,14.149333,14.210000,13.874667,13.897333,13.897333,28162500
2016-10-06,13.497333,13.614000,13.347333,13.400000,13.400000,70551000
2016-10-07,13.400000,13.421333,13.053333,13.107333,13.107333,52395000
2016-10-10,13.423333,13.609333,13.310667,13.396667,13.396667,49744500
2016-10-11,13.456667,13.480000,13.220667,13.340000,13.340000,34926000
2016-10-12,13.396667,13.592000,13.361333,13.434000,13.434000,29560500
2016-10-13,13.366667,13.393333,13.136667,13.349333,13.349333,37419000
2016-10-14,13.377333,13.428667,13.086667,13.100667,13.100667,64048500
2016-10-17,13.136667,13.226000,12.800000,12.930667,12.930667,68311500
2016-10-18,13.066000,13.298000,12.884000,13.273333,13.273333,85207500
2016-10-19,13.316000,13.777333,13.204000,13.570667,13.570667,104868000
2016-10-20,13.474667,13.533333,13.136667,13.273333,13.273333,76093500
2016-10-21,13.240000,13.438000,13.160667,13.339333,13.339333,44151000
2016-10-24,13.400000,13.596667,13.350000,13.517333,13.517333,41274000
2016-10-25,13.526667,13.646000,13.413333,13.489333,13.489333,36675000
2016-10-26,13.400000,13.546000,13.340000,13.482667,13.482667,84492000
2016-10-27,14.089333,14.246667,13.443333,13.600667,13.600667,196405500
2016-10-28,13.600000,13.688000,13.322000,13.331333,13.331333,64201500
2016-10-31,13.499333,13.499333,13.054000,13.182000,13.182000,70384500
2016-11-01,13.202667,13.233333,12.540667,12.719333,12.719333,105900000
2016-11-02,12.670000,12.846667,12.500667,12.534667,12.534667,63801000
2016-11-03,12.600000,12.764667,12.469333,12.494667,12.494667,39795000
2016-11-04,12.600000,12.897333,12.397333,12.704000,12.704000,77190000
2016-11-07,12.906000,12.952667,12.670000,12.880667,12.880667,58051500
2016-11-08,12.919333,13.166000,12.750667,12.996000,12.996000,49014000
2016-11-09,12.458667,12.800000,12.263333,12.670667,12.670667,122596500
2016-11-10,12.736667,12.774000,12.028000,12.356667,12.356667,101254500
2016-11-11,12.282667,12.592000,12.200000,12.570667,12.570667,59827500
2016-11-14,12.533333,12.550000,11.879333,12.096667,12.096667,98283000
2016-11-15,12.185333,12.428667,12.136667,12.251333,12.251333,58530000
2016-11-16,12.176667,12.315333,12.080667,12.262000,12.262000,51516000
2016-11-17,12.232667,12.632667,12.140667,12.577333,12.577333,73306500
2016-11-18,12.710000,12.866667,12.333333,12.334667,12.334667,78154500
2016-11-21,12.336000,12.592667,12.294000,12.301333,12.301333,65415000
2016-11-22,12.389333,12.764667,12.247333,12.744667,12.744667,84051000
2016-11-23,12.707333,13.042667,12.600000,12.876000,12.876000,73378500
2016-11-25,12.909333,13.149333,12.909333,13.110000,13.110000,35491500
2016-11-28,13.032000,13.290000,12.970000,13.074667,13.074667,67938000
2016-11-29,13.037333,13.115333,12.633333,12.638000,12.638000,66589500
2016-11-30,12.733333,12.792667,12.500000,12.626667,12.626667,53206500
2016-12-01,12.550000,12.568667,12.066667,12.125333,12.125333,76896000
2016-12-02,12.192000,12.325333,12.000000,12.098000,12.098000,60634500
2016-12-05,12.167333,12.592667,12.167333,12.453333,12.453333,61083000
2016-12-06,12.368000,12.438667,12.178667,12.390000,12.390000,50874000
2016-12-07,12.410000,12.893333,12.333333,12.876667,12.876667,81928500
2016-12-08,12.803333,12.833333,12.636000,12.819333,12.819333,47911500
2016-12-09,12.724667,12.922667,12.720667,12.812000,12.812000,40837500
2016-12-12,12.853333,12.961333,12.745333,12.828667,12.828667,36583500
2016-12-13,12.878667,13.418667,12.866667,13.210000,13.210000,102358500
2016-12-14,13.249333,13.533333,13.117333,13.246000,13.246000,62263500
